altruistic,unselfishly generous; concerned for others; N. altruism: unselfish concern for the welfare of others; unselfishness; OP. egoism
amalgam,combination of different things; mixture of metals  used for filling holes in teeth
amalgamate,combine; unite in one body
amass,collect
amazon,female warrior
ambidextrous,capable of using either hand with equal ease
ambience,environment; atmosphere; Ex. restaurant with a pleasant ambience; ADJ. ambient: completely surrounding; Ex. ambient temperature
ambiguous,unclear or doubtful in meaning; having more than one possible interpretation
ambivalence,the state of having contradictory or conflicting emotional attitudes or opinions
amble,walking at an easy unhurried pace; V: walk slowly and aimlessly
ambrosia,food of the gods
ambulatory,able to walk
ameliorate,improve
amenable,obedient; compliant; readily managed; responsive; willing to be led; answerable or accountable legally; responsible; able to be tested by; Ex. amenable to sensible suggestions; Ex. He is very amenable; Ex. amenable to the usual tests
amend,correct; change ; generally for the better
amenities,convenient features that helps to make life pleasant; social courtesies
amiable,agreeable; lovable; warmly friendly
amicable,peaceful; politely friendly; not quarrelsome; Ex. amicable settlement
amiss,wrong; faulty; Ex. something amiss; ADV.
amity,friendship; peaceful relationship as between nations
amnesia,loss of memory
amnesty,pardon
amok,in a state of rage; Ex. run amok
amoral,nonmoral; having no understanding of right and wrong
amorous,moved by sexual love; loving; of sexual love; Ex. amorous advances
amorphous,formless; lacking shape or definition
amphibian,able to live both on land and in water; N.
amphitheater,oval building with tiers of seats; CF. arena
ample,enough; abundant; spacious; large in size; Ex. ample opportunity/garden; N. amplitude: quality of being ample; abundance; largeness of space
amplify,increase in size or effect; expand; broaden or clarify by expanding; intensify; make stronger; Ex. amplify one's remarks with a graph
amputate,cut off part of body; prune
amulet,charm; talisman; an object worn believed to protect against evil, bad luck
anachronism,an error involving time in a story; something or someone misplaced in time; ADJ. anachronistic
analgesic,causing insensitivity to pain; N.
analogous,comparable; similar
analogy,similarity; parallelism; comparing two similar things
anarchist,person who seeks to overturn the established government; advocate of abolishing authority
anarchy,absence of governing body; state of disorder
anathema,solemn curse; someone or something regarded as a curse; V. anathematize
ancestry,family descent; ADJ. ancestral
anchor,secure or fasten firmly; be fixed in place; N. anchorage
ancillary,serving as an aid or accessory; auxiliary; N.
anecdote,short story of an amusing or interesting event
anemia,condition in which blood lacks red corpuscles; ADJ. anemic
anesthetic,substance that removes sensation with or without loss of consciousness; N. anesthesia
anguish,acute pain; extreme suffering
angular,sharp-cornered; having an angle; not rounded ; bony; lean; gaunt; stiff in manner
animadversion,critical remark; V. animadvert: comment critically with disapproval
animated,lively; spirited
animosity,active enmity
animus,hostile feeling or intent; animosity; hostility; disposition
annals,records arranged in yearly parts; history
anneal,reduce brittleness and improve toughness by heating and cooling
annex,attach; add to a large thing; take possession of; incorporate  into a larger existing political unit ; N: building added to a large one
annihilate,destroy
annotate,comment; make explanatory notes
annuity,yearly allowance
annul,make void
anodyne,drug that relieves pain or trouble; opiate; ADJ. Ex. anodyne statement
anoint,consecrate; put oil on
anomalous,abnormal; irregular
anomaly,irregularity
anonymity,state of being nameless; anonymousness; ADJ. anonymous
antagonism,hostility; active opposition; V. antagonize: cause to become an enemy; N. antagonist: person who is opposed to another; opponent; adversary; principal character in opposition to the protagonist
antecede,precede
antecedents,preceding events that influence what comes later; ancestors or early background
antediluvian,antiquated; extremely ancient
anthem,song of praise or patriotism; Ex. national anthem
anthology,book of literary selections by various authors; CF. omnibus
anthropoid,manlike; resembling a human being; N.
anthropologist,student of the history and science of humankind
anthropomorphic,having human form or characteristics
anticlimax,letdown in thought or emotion; something unexciting, ordinary, or disappointing coming after something important or exciting
antidote,remedy to counteract a poison or disease; Ex. antidote to the economic troubles
antipathy,aversion; dislike or opposition
antiquated,obsolete; old-fashioned; outdated
antiseptic,substance that prevents infection in a wound; ADJ.
antithesis,contrast; direct opposite of or to; ADJ. antithetic or antithetical
anvil,iron block used in hammering out metals
apathy,lack of caring; indifference; lack of concern or interest in important matters; Ex. He was sunk in apathy after his failure; ADJ. apathetic
ape,imitate or mimic
aperture,opening; hole; adjustable opening in a camera that limits the amount of light
apex,tip; summit; climax; highest point
aphasia,loss of speech due to injury or illness
aphorism,pithy maxim or saying; ADJ. aphoristic
apiary,a place where bees are kept
aplomb,poise; composure in difficult situations; assurance; self-confidence
apocalyptic,prophetic; pertaining to revelations especially of disaster; N. apocalypse
apocryphal,widely believed but untrue
apogee,highest point; the point farthest from the earth; OP. perigee
apolitical,having an aversion or lack of concern for political affairs
apologist,one who writes in defense of a cause or institution; N. apologia
apoplexy,stroke; loss of consciousness caused by too much blood in the brain
apostate,one who abandons his religious faith or political beliefs; N. apostasy
apothecary,druggist; pharmacist
apothegm,pithy, compact saying
apotheosis,elevation to godhood; an ideal example of something
appall,dismay; shock deeply
apparition,ghost; phantom
appease,pacify or soothe; Ex. appease a crying baby; N. appeasement
appellation,name; title
append,attach
application,diligent attention; diligence; V. apply oneself
apposite,appropriate; fitting
appraise,estimate value of; N. appraisal
appreciate,be thankful for; increase in worth; be thoroughly conscious of; ADJ. appreciable: enough to be felt; Ex. appreciable difference
apprehend,arrest ; dread; perceive; N. apprehension
apprehensive,fearful; discerning
apprise,inform
approbation,approval
appropriate,acquire; take possession of for one's own use without permission; set aside for a particular purpose; allocate; CF. misappropriate
appurtenances,subordinate possessions; something added to a more important thing
apropos,with reference to; regarding; Ex. remarks apropos  the present situation; ADJ. ADV.
aptitude,fitness; talent
aquiline,curved; hooked; of or like an eagle; Ex. aquiline nose
arable,fit for growing crops; Ex. arable land
arbiter,person with power to decide a matter in dispute; judge who is in a position to make influential judgments; Ex. supreme arbiter of fashion in beachware
arbitrary,unreasonable or capricious; random; tyrannical; Ex. arbitrary ruler
arbitrate,act as judge
arboretum,place where different trees and shrubs are studied and exhibited
arcade,a covered passageway usually lined with shops
arcane,esoteric; secret; mysterious; known only to the initiated; Ex. arcane ritual; Ex. arcane process closed to the uninitiated listener
arch-,chief; first; Ex. archbishop
archaeology,study of artifacts and relics of early mankind
archaic,antiquated; no longer used; belonging to the past; N.
archetype,prototype; primitive pattern
archipelago,group of closely located islands
archives,public records; place where public records are kept
ardor,heat; passion; zeal; ADJ. ardent
arduous,hard; strenuous; Ex. arduous work
argot,slang; speech spoken by only a small group of people
aria,operatic solo; a song sung by one person in an opera or oratorio
arid,dry; barren; unproductive
aristocracy,hereditary nobility; privileged class; government by nobility; N. aristocrat
armada,fleet of warships
aromatic,fragrant; having a sweet smell; N. aroma: strong pleasant smell
arraign,charge in court; indict
array,marshal; draw up in order; arrange in order; clothe splendidly; adorn; N: fine clothes; ordered group; Ex. in battle array
arrears,being in debt; money that should have been paid; work that should have been done
arrhythmic,lacking rhythm or regularity; N. arrhythmia
arrogance,pride; haughtiness; ADJ. arrogant: unpleasantly self-important
arroyo,gully; narrow channel formed by rainwater
arsenal,storage place for military equipment
articulate,effective; distinct; expressing ideas clearly; having clear sounds; having joints; Ex. articulate speech; V: express thoughts and feeling clearly; pronounce clearly; unite by joints
artifacts,object made by human beings, either hand-made or mass-produced
artifice,deception; trickery
artisan,a manually skilled worker
artless,without guile; open and honest
ascendancy,controlling influence; position of controlling influence; CF. in the ascendant
ascertain,find out for certain; make certain
ascetic,practicing self-denial; avoiding physical pleasures and comforts; austere; Ex. ascetic life of Buddhist monks; N. asceticism
ascribe,refer; attribute; assign
aseptic,preventing infection; having a cleansing effect
ashen,ash-colored; deadly pale
asinine,stupid; Ex. asinine remarks
askance,with a sideways or indirect look ; Ex. look askance at
askew,crookedly; slanted; at an angle
asperity,sharpness; roughness; severity ; Ex. asperities of a Russian winter
aspersion,slanderous remark; Ex. cast aspersions on
aspirant,seeker after position or status
aspire,seek to attain ; long for; Ex. aspire to become president; Ex. aspire to/after the leadership
assail,assault
assay,analyze ; evaluate
assent,agree; accept; N. assessment
assert,state strongly or positively; demand recognition of ; make a claim to ; Ex. assert one's independence
assiduous,diligent
assimilate,absorb; take  into the body and digest it; understand  completely and be able to use properly; cause to become homogeneous
assuage,make less severe; ease or lessen ; satisfy ; soothe
assumption,something taken for granted; the taking over or taking possession of; Ex. her assumption of power; V. assume
assurance,firm statement that something is certainly true; promise or pledge; certainty; confidence in one's own ability; self-confidence; Ex. In spite of all his assurances, he did not come back; Ex. assurance of his loyalty; Ex. The teacher lacked assurance in front of his class; V. assure; tell firmly with confidence; ensure; make  certain to happen; make  feel sure; give confidence to; ADJ. assured: self-assured; confident in one's own ability; showing certainty
asteroid,small planet
astigmatism,eye defect which prevents proper focus; OP. stigmatism
astral,relating to the stars
astringent,binding; causing contraction ; harsh or severe; stringent; Ex. astringent criticism
astronomical,enormously large or extensive
astute,wise; shrewd; keen; seeing quickly something that is to one's advantage
asunder,into parts; apart; V. sunder
asylum,place of refuge or shelter; protection
asymmetric,not identical on both sides of a dividing central line
atavism,resemblance to remote ancestors rather than to parents; reversion to an earlier type; throwback; ADJ. atavistic
atheistic,denying the existence of God; N. atheism
atone,make amends for; pay for; Ex. atone for
atrocity,brutal deed; ADJ. atrocious
atrophy,wasting away; V: weaken and lose flesh and muscle
attentive,alert and watchful; listening carefully; paying attention; considerate; thoughtful; politely helpful; Ex. attentive audience; Ex. He was attentive to the old lady; N. attentions: act of courtesy and consideration
attenuate,make thin; weaken
attest,testify; bear witness
attribute,essential quality; V: ascribe; explain
attrition,rubbing away by friction; gradual decrease in numbers or strength; reduction in the work force without firing employees; wearing away of opposition by means of harassment; Ex. a war of attrition
atypical,not normal; not typical
audacious,daring; bold; N. audacity
audit,examination of accounts of a business; official examination; V.
augment,increase; add to
augury,omen; prophecy; sign of coming events; V. augur: predict; foretell; be a sign of
august,impressive; majestic
aureole,suns corona; halo; bright circle of light
auroral,pertaining to the aurora borealis; CF. aurora australis
auspicious,favoring success; giving signs of future success; Cf. auspices
austere,forbiddingly stern; ascetic; without comfort or enjoyment; severely simple and unornamented; Ex. a monks austere life; Ex. austere grandeur of the cathedral; N. austerity
"authenticate","prove genuine"
"authoritarian","subordinating the individual to the state; completely dominating another""s will; Ex. authoritarian regime/father"
"authoritative","having the weight of authority; regarded as providing knowledge that can be trusted; reliable; peremptory and dictatorial; Ex. authoritative dictionary/manner; CF. definitive"
"autocratic","having absolute unchecked power; dictatorial; N. autocrat, autocracy"
"automaton","mechanism that imitates actions of humans; machine that works by itself"
"autonomous","self-governing; N. autonomy"
"autopsy","examination of a dead body; postmortem; V."
"auxiliary","offering or providing help; additional or subsidiary; N: helper; assistant"
"avalanche","great mass of falling snow and ice"
"avarice","greediness for wealth"
"avenge","take vengeance for something or on behalf of someone; Ex. They avenged his death by burning the village; Ex. He swore to avenge his brother; Ex. They avenged themselves on their enemy."
"aver","state confidently; declare as true"
"averse","reluctant; disinclined; not liking or opposed; Ex. averse to cats/doing the house work"
"aversion","firm dislike"
"avert","prevent; avoid; turn away ; Ex. An accident was averted by his quick thinking; Ex. She averted her eyes from the terrible sight."
"aviary","enclosure for birds; large cage"
"avid","greedy; extremely eager for; Ex. avid learner; N. avidity"
"avocation","secondary or minor occupation"
"avow","declare openly; N. avowal"
"avuncular","of or like an uncle"
"awe","solemn wonder; feeling of respect mixed with wonder and fear; V: fill with awe; ADJ. awesome"
"awl","pointed tool used for piercing"
"awry","distorted; crooked; bent; Ex. Our plans have gone awry."
"axiom","self-evident truth requiring no proof"
"azure","sky blue"
"babble","chatter idly or foolishly; make continuous sounds like water running gently over rounded stone; N."
"bacchanalian","drunken"
"badger","pester; annoy continually with demands; persuade by asking again and again; Ex. The children badgered me into taking them into the cinema; N: a kind of mountain animal"
"badinage","teasing conversation; banter; joking talk"
"baffle","frustrate; perplex"
"bait","harass; tease; torment; Ex. badger baiting; N: food or other lure used to catch fish or trap animals"
"baleful","evil; malignant in intent or effect; deadly; having a malign influence; portending evil; ominous; threatening; Ex. baleful look"
"balk","stop short, as if faced with an obstacle, and refuse to continue; foil; stop or get in the way of; frustrate"
"ballast","heavy substance used to add stability or weight; V. supply with ballast"
"balm","something that relieves pain; oily liquid with a pleasant smell from trees"
"balmy","soft and mild ; fragrant"
"banal","hackneyed; commonplace; trite; lacking originality; cliched"
"bandy","discuss lightly or glibly; discuss in a frivolous manner; exchange  heatedly; quarrel; Ex. bandy words with"
"bane","poison; cause of ruin; ADJ. baneful: harmful; poisonous"
"bantering","joking talk; good-naturedly ridiculing; N.V. banter"
"barb","sharp projection from fishhook, arrow, or other object; openly cutting remark"
"bard","poet"
"barefaced","shameless and noticeable; blatant; bold; unconcealed; having no covering on the face; Ex. barefaced lie"
"baroque","highly ornate"
"barrage","barrier laid down by artillery fire; overwhelming profusion; large number of questions or statements; Ex. a barrage of criticism"
"barrister","counselor-at-law or lawyer in the higher court of law; CF. bar"
"barterer","trader; V. barter: trade; exchange good for other goods rather than money"
"bask","luxuriate; take pleasure in warmth"
"bastion","stronghold; something seen as a source of protection; Ex. the last bastion of male chauvinism"
"bate","let down; lessen the force of; moderate; restrain; Ex. with bated breath; CF. abate"
"bauble","trinket; cheap jewel; trifle"
"bawdy","indecent; obscene; about sex in a rude funny way; CF. bawd"
"beatific","giving or showing bliss; blissful"
"beatitude","blessedness; state of great happiness"
"bedizen","dress with vulgar finery"
"bedraggle","wet thoroughly; ADJ. bedraggled: draggled"
"beeline","direct quick route"
"befuddle","confuse thoroughly"
"beget","father; become the father of; produce; give rise to"
"begrudge","envy; give or allow unwillingly; grudge; Ex. We shouldn""t begrudge him his success."
"beguile","deceive; mislead or delude; cheat; pass time pleasantly; charm or attract; Ex. beguiling smile"
"behemoth","huge creature; something of monstrous size or power"
"beholden","obligated; indebted; owing thanks; obliged or indebted from gratitude"
"behoove","be suited to; be incumbent upon; be right and necessary; Ex. It behooves one to do."
"belabor","harp on; dwell on tediously; explain or go over excessively or to a ridiculous degree; assail verbally; beat severely; attack physically"
"belated","delayed"
"beleaguer","besiege or attack ; harass; beset"
"belie","contradict; give a false impression; disguise; Ex. The poor sales belied our high hopes; Ex. Her smile belies her true feeling of displeasure."
"belittle","disparage; depreciate"
"bellicose","warlike"
"belligerent","quarrelsome"
"bemoan","lament; moan for; express sorrow or disapproval of"
"bemused","confused; lost in thought; preoccupied"
"benediction","blessing"
"benefactor","gift giver; patron; person who does good or who gives money for a good purpose"
"beneficent","kindly; doing good"
"beneficial","helpful; useful; advantageous"
"beneficiary","person entitled to benefits or proceeds of an insurance policy or will"
"benefit","advantage; anything that brings help, advantage, or profit; money provided by the government to the people; fund-raising public entertainment; Ex. unemployment benefit; V: receive benefits; be beneficial to; give benefits"
"benevolent","generous; charitable; having a wish to do good"
"benign","kindly; favorable; not malignant ; Ex. benign tumor"
"benison","blessing"
"bent","determined; Ex. bent on advancing in the business; N: natural talent or inclination"
"bequeath","leave to someone by means of a will; hand down in his will; N. bequest"
"berate","scold strongly"
"bereaved","deprived of"
"bereavement","state of being deprived of something valuable or beloved; state of being bereaved or bereft"
"bereft","deprived of ; lacking"
"berserk","mad with violent anger; frenzied; madly excited"
"beseech","beg; plead with"
"beset","harass or trouble from all directions; hem in"
"besiege","surround with armed forces; harass ; annoy continually"
"besmirch","soil; defile; make dirty"
"bestial","beastlike; brutal; inhuman; very cruel"
"bestow","confer"
"betoken","signify; indicate; be a sign of"
"betray","be unfaithful; reveal ; Ex. Her trembling hands betray her anxiety."
"betroth","become engaged to marry"
"bevy","large group; Ex. a bevy of starlets"
"bicameral","two-chambered as a legislative body"
"bicker","quarrel"
"biennial","every two years"
"bifurcated","divided into two branches; forked"
"bigotry","stubborn intolerance"
"bilious","suffering from indigestion; sick from having too much bile; irritable; easily irritated"
"bilk","swindle; cheat"
"billowing","swelling out in waves; surging"
"bivouac","temporary encampment; camp without tents; V."
"bizarre","fantastic; violently contrasting; noticeably odd; strikingly unconventional"
"blanch","bleach; whiten; make white or pale"
"bland","soothing or mild ; agreeable; causing no trouble or offense"
"blandishment","flattery"
"blare","loud or harsh roar or screech; dazzling blaze of light"
"blase","bored with pleasure or dissipation; uninterested or bored"
"blasphemy","irreverence; sacrilege; cursing; bad language about God or holy things; V. blaspheme; ADJ. blasphemous; CF. sacrilege"
"blatant","extremely  obvious; loudly offensive; Ex. blatant lie; N. blatancy"
"bleak","cold or cheerless; frigid; unlikely to be favorable; depressing"
"blighted","suffering from a disease; destroyed"
"blithe","gay; joyous"
"bloated","swollen or puffed as with water or air"
"blowhard","talkative boaster; braggart"
"bludgeon","club; heavy-headed weapon; V."
"bluff","pretense ; deception; high cliff; ADJ: rough but good-natured"
"blunder","error; stupid mistake"
"blurt","utter impulsively from nervousness or excitement"
"bluster","blow in heavy gusts; threaten emptily; bully; speak in a noisy or bullying manner; CF. breeze, gust, gale"
"bode","foreshadow; portend"
"bogus","counterfeit; not authentic; intentionally false; Ex. bogus interview"
"bohemian","unconventional"
"boisterous","violent; rough; noisy"
"bolster","support; reinforce"
"bolt","door bar; fastening pin or screw; length of fabric; large roll of cloth; V: dash or dart off; fasten ; gobble down"
"bombardment","attack ; V. bombard"
"bombastic","pompous; using inflated language"
"boon","blessing; benefit; something very helpful"
"boorish","rude; insensitive"
"bouillon","clear beef  soup"
"bountiful","generous; graciously generous; showing bounty"
"bourgeois","middle class; selfishly materialistic; too interested in material possessions"
"bovine","cowlike; placid and dull; slow-thinking; calm"
"bowdlerize","expurgate; CF. Thomas Bowdler"
"brackish","somewhat saline"
"braggadocio","boasting"
"braggart","boaster; bragger"
"brandish","wave around ; flourish"
"bravado","swagger; assumed air of defiance; false show of bravery"
"brawn","human muscle; muscular strength; sturdiness"
"brazen","insolent; without shame; bold; Ex. brazen lie; V: face with bold self-assurance or with unshamed confidence"
"breach","breaking of contract or duty; fissure or gap; opening; V."
"breadth","width; extent"
"brevity","conciseness; shortness of duration"
"brindled","tawny or grayish with streaks or spots"
"bristling","rising like bristles; showing irritation"
"brittle","hard but easily broken; difficult; unstable; Ex. brittle situation"
"broach","introduce as a subject; moot; open up"
"brocade","rich, figured fabric"
"brochure","pamphlet"
"brooch","ornamental clasp; pin"
"brook","tolerate; endure; Ex. brook no interference; N: small stream"
"browbeat","bully; intimidate"
"browse","graze; feed on growing grass; skim or glance at casually"
"brunt","main impact or shock ; Ex. brunt of the argument"
"brusque","blunt; abrupt; curt; not wanting to waste time being nice"
"buccaneer","pirate"
"bucolic","rustic; pastoral"
"buffet","strike forcefully; slap; batter; knock out; N: table with food set out for people to server themselves; meal at which people help themselves to food that""s been set"
"buffoonery","clowning"
"bugaboo","bugbear; object of baseless terror"
"bullion","gold and silver in the form of bars"
"bulwark","strong wall built for defense; earthwork or other strong defense; person who defends"
"bungle","mismanage; blunder; botch; blow; spoil by clumsy behavior"
"buoyant","able to float; cheerful and optimistic; N. buoyancy; Ex. buoyancy of wood/water/American market"
"bureaucracy","overregulated administrative system marked by red tape; ADJ. bureaucratic"
"burgeon","grow rapidly; grow forth; send out buds; Ex. burgeoning computer industry; CF. bludgeon"
"burlesque","give an imitation that ridicules; imitate mockingly"
"burnish","make shiny by rubbing; polish"
"buttress","support; prop up; N. stationary structure to support wall; Ex. flying buttress"
"buxom","full-bosomed; plump; jolly"
"cabal","small group of persons secretly united to promote their own interests"
"cache","hiding place; V."
"cacophonous","discordant; inharmonious; N. cacophony: unpleasant mixture of loud sounds"
"cadaver","corpse; dead human body"
"cadaverous","like a corpse; pale"
"cadence","rhythmic rise and fall ; beat; regular beat of sound; rhythm"
"cajole","persuade by praise or false promise; coax; wheedle"
"calamity","disaster; misery"
"calculated","deliberately planned; likely"
"caldron","large kettle"
"caliber","ability; quality; diameter of the inside of a round cylinder; Ex. work of very high caliber"
"calligraphy","beautiful writing; excellent penmanship"
"callous","hardened; unfeeling; without sympathy for the sufferings of others; unkind"
"callow","youthful; immature; inexperienced"
"calorific","heat-producing; N. calorie"
"calumny","malicious misrepresentation; slander"
"camaraderie","good-fellowship; CF. comrade"
"cameo","shell or jewel carved in relief; star""s special appearance in a minor role in a film"
"canard","unfounded false rumor; exaggerated false report"
"candor","frankness; open honesty; ADJ. candid"
"canine","related to dogs; doglike"
"canker","any ulcerous sore; ulcer; any evil; CF. cancer"
"canny","shrewd in money matters; thrifty"
"cant","insincere speech or expression of piety; jargon of thieves; special words used by a particular group of people"
"cantankerous","ill-humored; irritable"
"cantata","story set to music to be sung by a chorus"
"canter","slow gallop; V. CF. trot"
"canto","division of a long poem"
"canvass","determine or seek opinions, votes, etc.; go through  to solicit votes or orders; conduct a survey; N."
"capacious","spacious"
"capacity","mental or physical ability; role; position or duty; ability to accommodate; Ex. in my capacity as president"
"capillary","having a very fine bore; resembling a hair; fine and slender; Ex. capillary attraction; N: very fine hairlike tube; CF. capillarity"
"capitulate","surrender; give up all resistance"
"caprice","whim; sudden change of mind without any real cause"
"capricious","unpredictable; fickle"
"caption","title; chapter heading; text under illustration"
"captious","faultfinding; too critical"
"carafe","glass water bottle; decanter"
"carapace","shell covering the back"
"carat","unit of weight for precious stones; measure of the purity of gold"
"carcinogenic","causing cancer; N. carcinogen"
"cardinal","chief; most important; N: priest; cardinal number: number that shows quantity rather than order"
"cardiologist","doctor specializing in ailments of the heart"
"careen","lurch; sway from side to side; move with irregular swinging movement; stagger"
"caricature","distortion; burlesque"
"carillon","a set of bells  capable of being played"
"carnage","destruction of life; slaughter; killing of large numbers of people or animals"
"carnal","fleshly; sensual; concerning the desires of the body"
"carnivorous","meat-eating; N. carnivore; CF. herbivore"
"carousal","drunken revel; V. carouse"
"carping","petty criticism; fault-finding; fretful complaining; quibble"
"carrion","rotting flesh of a dead body; CF. vulture"
"cartographer","map-maker"
"cascade","small waterfall"
"caste","one of the hereditary classes in Hindu society; social stratification; prestige"
"castigation","punishment; severe criticism or disapproval"
"casualty","serious or fatal accident; person killed or wounded in an accident or battle"
"cataclysm","deluge; upheaval; earthquake; violent and sudden event or change"
